question_id,question_family,n_positions,error_and_next_suboptimal,error_and_next_optimal,correct_and_next_suboptimal,correct_and_next_optimal,odds_ratio,fisher_exact_p,fdr_bh_q
agent_location,coordinates,1,0,0,0,1,nan,1.0,1.0
door_location,coordinates,1,0,0,0,1,nan,1.0,1.0
door_open,core,1,0,0,0,1,nan,1.0,1.0
door_open_after_right,action_effects,1,0,0,0,1,nan,1.0,1.0
door_open_after_up,,0,0,0,0,0,nan,1.0,1.0
goal_location,coordinates,1,0,0,0,1,nan,1.0,1.0
has_key,core,1,0,0,0,1,nan,1.0,1.0
has_key_after_right,action_effects,1,0,0,0,1,nan,1.0,1.0
has_key_after_up,,0,0,0,0,0,nan,1.0,1.0
hit_wall_after_right,action_effects,1,0,0,0,1,nan,1.0,1.0
hit_wall_after_up,,0,0,0,0,0,nan,1.0,1.0
key_location,coordinates,1,0,0,0,1,nan,1.0,1.0
wall_down,wall_directional,1,0,1,0,0,nan,1.0,1.0
wall_left,wall_directional,1,0,1,0,0,nan,1.0,1.0
wall_right,wall_directional,1,0,0,0,1,nan,1.0,1.0
wall_up,wall_directional,1,0,0,0,1,nan,1.0,1.0
