event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,agent_location,coordinates,12,33,1,0.08333333333333333,1,0.08333333333333333,0,0.0,2,0.16666666666666666,1,0.030303030303030304,0.9696969696969697
optimal_to_suboptimal,belief_error_onset,door_open,core,12,101,1,0.08333333333333333,1,0.08333333333333333,2,0.16666666666666666,4,0.3333333333333333,3,0.0297029702970297,0.9702970297029703
optimal_to_suboptimal,belief_error_onset,door_open_after_down,action_effects,12,6,0,0.0,1,0.08333333333333333,1,0.08333333333333333,2,0.16666666666666666,1,0.16666666666666666,0.8333333333333334
optimal_to_suboptimal,belief_error_onset,door_open_after_left,action_effects,12,10,2,0.16666666666666666,0,0.0,3,0.25,4,0.3333333333333333,2,0.2,0.8
optimal_to_suboptimal,belief_error_onset,door_open_after_right,action_effects,12,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open_after_up,action_effects,12,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,goal_location,coordinates,12,10,1,0.08333333333333333,1,0.08333333333333333,1,0.08333333333333333,2,0.16666666666666666,1,0.1,0.9
optimal_to_suboptimal,belief_error_onset,has_key,core,12,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_down,action_effects,12,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_left,action_effects,12,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_right,action_effects,12,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_up,action_effects,12,7,1,0.08333333333333333,0,0.0,0,0.0,1,0.08333333333333333,1,0.14285714285714285,0.8571428571428572
optimal_to_suboptimal,belief_error_onset,hit_wall_after_down,action_effects,12,16,1,0.08333333333333333,0,0.0,1,0.08333333333333333,2,0.16666666666666666,1,0.0625,0.9375
optimal_to_suboptimal,belief_error_onset,hit_wall_after_left,action_effects,12,15,4,0.3333333333333333,0,0.0,4,0.3333333333333333,6,0.5,4,0.26666666666666666,0.7333333333333334
optimal_to_suboptimal,belief_error_onset,hit_wall_after_right,action_effects,12,15,0,0.0,1,0.08333333333333333,0,0.0,1,0.08333333333333333,1,0.06666666666666667,0.9333333333333333
